SAMP_NAME	BN107	BN102	BN106	LV61	LV99	D101	LV110	LV63	LV64	OR22	OR62	LV65	LV66	LV107	AC108	D249	HDS860	D101	LV245	LV246	LV318	LV319	LV314	LV315	LV306	LV304	LV305	LV309
K		0.08	0.170	0.56	0.131	0.047	0.105	0.084	0.07	0.08	1.347	0.150	0.160	0.100	0.073	0.054	0.169	0.498	0.172	0.343	0.170	0.077	0.138	0.001	0.04	0.034	0.563	0.088	0.285
K_X		0.01	0.009	0.03	0.005	0.003	0.004	0.004	0.004	0.004	0.032	0.01	0.009	0.004	0.004	0.004	0.010	0.008	0.009	0.014	0.012	0.007	0.008	0.0006	0.007	0.008	0.017	0.008	0.011
T		1.64	2.59	1.80	0.85	0.59	0.65	0.73	0.92	0.78	3.27	1.35	0.92	1.05	0.67	0.59	0.626	2.48	2.59	0.650	0.698	1.06	1.03	0.46	0.59	0.42	1.820	0.640	1.365
T_X		0.08	0.03	0.11	0.03	0.03	0.02	0.02	0.02	0.02	0.173	0.07	0.06	0.04	0.02	0.03	0.063	0.89	0.03	0.072	0.081	0.06	0.05	0.08	0.08	0.06	0.085	0.052	0.067
U		1.90	3.02	0.83	0.86	1.94	1.25	0.50	0.38	0.26	1.3167	0.61	1.34	0.76	0.79	0.69	0.399	1.73	3.02	0.695	0.874	0.59	0.44	1.58	1.61	1.94	1.367	2.567	1.546
U_X		0.08	0.07	0.03	0.11	0.11	0.08	0.09	0.06	0.05	0.0508	0.03	0.09	0.05	0.07	0.06	0.018	0.05	0.07	0.027	0.035	0.02	0.02	0.04	0.04	0.05	0.039	0.062	0.041
U238		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0	0	0.32	0.35	0.35	0.30	0.15	0.19	0.14	0.60	0.21	0.68
U238_X		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0.03	0.03	0.015	0.019	0.014	0.06	0.02	0.04
U234_U238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.14	0	0	1.0	1.0	1.14	1.2	1.14	1.14	1.2	1.14	1.14	1.14
U234_U238_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
WCI             20      20      20      12      8       8      	20      8      	8 	10	12	8	10	10	10	8	22	28	10	10	15	8	20	15	8	20	15	10
WCI_X           7       10      6       5       3       3       2       3       3 	5	5	3	2	2	2	3	8	8	3	3	5	2	5	5	2	5	5	3
WCF		7	10	6	2	5	2	10	5	2	10	2	5	5	5	5	8	8	8	5	5	5	2	10	3	2	5	5	5
WCF_X		7	10	6	2	5	2	4	5	2	5	2	5	5	5	5	3	5	5	2	2	5	2	5	3	2	5	5	2
CC		62	68	49	17	61	59	83	70	40	0	20	66	45	60	57	71	65	56	65	84	37	31	63	64	78	27	74	62
CC_X		1	1	1	1	3	2	4	4	2	0	2	2	4	2	2	4	4	3	3	4	2	2	4	4	4	2	4	3
DIAM		180	180	145	210	210	210	210	180	175	108	180	180	175	215	215	215	215	215	181	181	250	250	250	250	250	250	250	225
DIAM_X		10	22	15	30	30	20	20	20	25	16	20	20	25	35	35	35	35	35	31	31	50	50	50	50	50	50	50	75
COSMIC		0.18	0.18	0.18	0.069	0.182	0.18	0.1447	0.1663	0.1541	0.07	0.186	0.171	0.1186	0.0876	0.1079	0.212	0.191	0.181	0.171	0.165	0.1913	0.1913	0.2025	0.2025	0.2025	0.1950	0.2025	0.1082
COSMIC_X	0.01	0.01	0.01	0.0035	0.009	0.01	0.0072	0.0083	0.007	0.003	0.009	0.001	0.0059	0.0044	0.0054	0.01	0.0096	0.009	0.009	0.0083	0.0096	0.0096	0.0101	0.0101	0.0101	0.097	0.0101	0.0054
INTERNAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03
INTERNAL_X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
ONSET		100	100	100	120	60	180	90	90	70	0	50	80	75	120	100	1	4	100	60	60	120	110	120	110	100	120	120	60
ONSET_X		10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	1	4	100	10	10	10	10	10	10	10	10	10	10
FINISH		40	40	40	40	40	130	40	40	40	0	40	40	40	40	40	0.01	0.1	40	28	28	80	80	100	80	80	70	70	28
FINISH_X	10	10	10	10	10	10	10	10	10	0	10	10	10	10	10	0.001	0.01	10	5	5	5	5	5	5	5	5	5	5
DE		98	130	120	52	50	81	46	41	31	32	42	65	43	53	44	1.10	6.086	152	56	37	27	62	0	66	65	131	73	78
DE_X		9	10	10	5	4	5	4	4	3	3	1	3	1	2	2	0.1	0.161	8	3	2	1	0.3	2	2	3	17	11	5
STEP1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ERROR		100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
