%D	K	Th	U
0.005	0.0018	0.0225	0.0120
0.010	0.0035	0.0366	0.0214
0.015	0.0053	0.0484	0.0296
0.020	0.0071	0.0582	0.0366
0.030	0.0106	0.0743	0.0475
0.040	0.0141	0.0875	0.0564
0.050	0.0177	0.0988	0.0642
0.060	0.0212	0.1088	0.0713
0.070	0.0248	0.1181	0.0779
0.080	0.0283	0.1269	0.0840
0.090	0.0318	0.1351	0.0901
0.100	0.0354	0.1427	0.0957
0.120	0.0424	0.158	0.106
0.140	0.0494	0.171	0.117
0.160	0.0563	0.184	0.127
0.180	0.0633	0.195	0.137
0.200	0.0702	0.206	0.146
0.250	0.0877	0.229	0.169
0.300	0.1052	0.251	0.189
0.400	0.1402	0.288	0.230
0.500	0.1748	0.320	0.263
0.600	0.209	0.348	0.295
0.800	0.275	0.399	0.351
1.000	0.337	0.443	0.400
1.200	0.394	0.482	0.442
1.400	0.447	0.518	0.479
1.600	0.493	0.550	0.512
1.800	0.535	0.578	0.541
2.000	0.571	0.604	0.568
2.500	0.643	0.659	0.623
3.000	0.696	0.701	0.667
4.000	0.765	0.760	0.731
5.000	0.807	0.798	0.773
6.000	0.837	0.825	0.803
8.000	0.873	0.859	0.842
10.00	0.896	0.879	0.866
